nthreads CpuThread CpuProcess IoThread IoProcess
1.000000e+00 2.439022e-04 1.055717e-02 1.003573e+00 1.006350e+00
2.000000e+00 6.589890e-04 5.961180e-03 1.005468e+00 1.007805e+00
3.000000e+00 8.361340e-04 6.294012e-03 1.001041e+00 1.008155e+00
4.000000e+00 8.330345e-04 7.468224e-03 1.001149e+00 1.010158e+00
5.000000e+00 8.919239e-04 8.252144e-03 1.003817e+00 1.010325e+00
6.000000e+00 8.580685e-04 1.056790e-02 1.002210e+00 1.012024e+00
7.000000e+00 1.236916e-03 1.122403e-02 1.001884e+00 1.013262e+00
8.000000e+00 1.492023e-03 1.233983e-02 1.004267e+00 1.014157e+00
9.000000e+00 1.714230e-03 1.349926e-02 1.005920e+00 1.014366e+00
1.000000e+01 1.698971e-03 1.528192e-02 1.001575e+00 1.015572e+00
1.100000e+01 1.284838e-03 1.571321e-02 1.006285e+00 1.017373e+00
1.200000e+01 1.615047e-03 1.744485e-02 1.004803e+00 1.018409e+00
1.300000e+01 2.077103e-03 2.698016e-02 1.004796e+00 1.019081e+00
1.400000e+01 1.629114e-03 2.056789e-02 1.006745e+00 1.019787e+00
1.500000e+01 1.901150e-03 2.092195e-02 1.002137e+00 1.021046e+00
1.600000e+01 2.529144e-03 2.111197e-02 1.006666e+00 1.022563e+00
1.700000e+01 2.468824e-03 2.231717e-02 1.004761e+00 1.023329e+00
1.800000e+01 2.673149e-03 2.320886e-02 1.003490e+00 1.025829e+00
1.900000e+01 3.293037e-03 2.669907e-02 1.002080e+00 1.024740e+00
2.000000e+01 2.942801e-03 2.491379e-02 1.006811e+00 1.028101e+00
2.100000e+01 3.020048e-03 2.951193e-02 1.006189e+00 1.032315e+00
2.200000e+01 2.460003e-03 3.105617e-02 1.007101e+00 1.032245e+00
2.300000e+01 3.247976e-03 2.978301e-02 1.004104e+00 1.031104e+00
